Protein	geneSymbol	diseaseName	diseaseClass	disease
Xaa-Pro dipeptidase	PEPD	Infection	C01	Бактериальный инфекции и микозы
Alpha-1-antitrypsin	SERPINA1	HIV Infections	C01	Бактериальный инфекции и микозы
Alpha-1-antitrypsin	SERPINA1	HIV Coinfection	C01	Бактериальный инфекции и микозы
Apolipoprotein A-I	APOA1	HIV Infections	C01	Бактериальный инфекции и микозы
Apolipoprotein A-I	APOA1	HIV Coinfection	C01	Бактериальный инфекции и микозы
C-reactive protein	CRP	Leishmaniasis	C01	Бактериальный инфекции и микозы
Complement C3	C3	Paratuberculosis	C01	Бактериальный инфекции и микозы
Complement C5	C5	Peritonitis	C01	Бактериальный инфекции и микозы
Complement C5	C5	Primary Peritonitis	C01	Бактериальный инфекции и микозы
Complement C5	C5	Secondary Peritonitis	C01	Бактериальный инфекции и микозы
Haptoglobin	HP	Hepatitis B	C01	Бактериальный инфекции и микозы
Haptoglobin	HP	HIV Infections	C01	Бактериальный инфекции и микозы
Haptoglobin	HP	Hepatitis B, Chronic	C01	Бактериальный инфекции и микозы
Haptoglobin	HP	Hepatitis C, Chronic	C01	Бактериальный инфекции и микозы
Haptoglobin	HP	HIV Coinfection	C01	Бактериальный инфекции и микозы
Plasma protease C1 inhibitor	SERPING1	Influenza	C01	Бактериальный инфекции и микозы
Serotransferrin	TF	Paratuberculosis	C01	Бактериальный инфекции и микозы
Serum albumin	ALB	HIV Infections	C01	Бактериальный инфекции и микозы
Serum albumin	ALB	HIV Seropositivity	C01	Бактериальный инфекции и микозы
Serum albumin	ALB	HIV Coinfection	C01	Бактериальный инфекции и микозы
Tissue-type plasminogen activator	PLAT	Bacteremia	C01	Бактериальный инфекции и микозы
Tissue-type plasminogen activator	PLAT	Meningoencephalitis	C01	Бактериальный инфекции и микозы
Vitamin K-dependent protein C	PROC	Pyemia	C01	Бактериальный инфекции и микозы
Vitamin K-dependent protein C	PROC	Septicemia	C01	Бактериальный инфекции и микозы
Vitamin K-dependent protein C	PROC	Sepsis	C01	Бактериальный инфекции и микозы
Vitamin K-dependent protein C	PROC	Severe Sepsis	C01	Бактериальный инфекции и микозы
Angiotensinogen	AGT	Pneumonia	C01	Бактериальный инфекции и микозы
Angiotensinogen	AGT	Lobar Pneumonia	C01	Бактериальный инфекции и микозы
Angiotensinogen	AGT	Experimental Lung Inflammation	C01	Бактериальный инфекции и микозы
Angiotensinogen	AGT	Pneumonitis	C01	Бактериальный инфекции и микозы
Complement C2	C2	Lupus Vulgaris	C01	Бактериальный инфекции и микозы
Complement component C9	C9	Meningococcal meningitis	C01	Бактериальный инфекции и микозы
Complement component C9	C9	Meningitis, Meningococcal, Serogroup A	C01	Бактериальный инфекции и микозы
Complement component C9	C9	Meningitis, Meningococcal, Serogroup B	C01	Бактериальный инфекции и микозы
Complement component C9	C9	Meningitis, Meningococcal, Serogroup C	C01	Бактериальный инфекции и микозы
Complement component C9	C9	Meningitis, Meningococcal, Serogroup Y	C01	Бактериальный инфекции и микозы
Complement component C9	C9	Meningitis, Meningococcal, Serogroup W-135	C01	Бактериальный инфекции и микозы
Intercellular adhesion molecule 1	ICAM1	Pleurisy	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Appendicitis	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	HIV Infections	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Leishmaniasis	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Leishmaniasis, Cutaneous	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Pleurisy	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Pyemia	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Septicemia	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Leishmaniasis, New World	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Urban cutaneous leishmaniasis	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Sepsis	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Ruptured Appendicitis	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	Severe Sepsis	C01	Бактериальный инфекции и микозы
Interleukin-10	IL10	HIV Coinfection	C01	Бактериальный инфекции и микозы
Interleukin-6	IL6	Leishmaniasis	C01	Бактериальный инфекции и микозы
Interleukin-6	IL6	Pleurisy	C01	Бактериальный инфекции и микозы
Interleukin-6	IL6	Pneumonia	C01	Бактериальный инфекции и микозы
Interleukin-6	IL6	Lobar Pneumonia	C01	Бактериальный инфекции и микозы
Interleukin-6	IL6	Kaposi Sarcoma	C01	Бактериальный инфекции и микозы
Interleukin-6	IL6	HIV Wasting Syndrome	C01	Бактериальный инфекции и микозы
Interleukin-6	IL6	Experimental Lung Inflammation	C01	Бактериальный инфекции и микозы
Interleukin-6	IL6	Pneumonitis	C01	Бактериальный инфекции и микозы
Mannose-binding protein C	MBL2	HIV Infections	C01	Бактериальный инфекции и микозы
Mannose-binding protein C	MBL2	HIV Coinfection	C01	Бактериальный инфекции и микозы
Prothrombin	F2	Paratuberculosis	C01	Бактериальный инфекции и микозы
Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	Pneumonia	C01	Бактериальный инфекции и микозы
Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	Lobar Pneumonia	C01	Бактериальный инфекции и микозы
Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	Experimental Lung Inflammation	C01	Бактериальный инфекции и микозы
Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	Pneumonitis	C01	Бактериальный инфекции и микозы
Tumor necrosis factor receptor superfamily member 1B	TNFRSF1B	Pneumonia	C01	Бактериальный инфекции и микозы
Tumor necrosis factor receptor superfamily member 1B	TNFRSF1B	Lobar Pneumonia	C01	Бактериальный инфекции и микозы
Tumor necrosis factor receptor superfamily member 1B	TNFRSF1B	Experimental Lung Inflammation	C01	Бактериальный инфекции и микозы
Tumor necrosis factor receptor superfamily member 1B	TNFRSF1B	Pneumonitis	C01	Бактериальный инфекции и микозы
Vitamin D-binding protein	GC	Endotoxic shock	C01	Бактериальный инфекции и микозы
Vitamin D-binding protein	GC	Septic Shock	C01	Бактериальный инфекции и микозы
Vitamin D-binding protein	GC	Toxic Shock Syndrome	C01	Бактериальный инфекции и микозы
60 kDa heat shock protein mitochondrial	HSPD1	HIV Infections	C01	Бактериальный инфекции и микозы
60 kDa heat shock protein mitochondrial	HSPD1	Endotoxemia	C01	Бактериальный инфекции и микозы
60 kDa heat shock protein mitochondrial	HSPD1	HIV Coinfection	C01	Бактериальный инфекции и микозы
72 KDa type IV collagenase	MMP2	Leishmaniasis, Cutaneous	C01	Бактериальный инфекции и микозы
72 KDa type IV collagenase	MMP2	Leishmaniasis, New World	C01	Бактериальный инфекции и микозы
72 KDa type IV collagenase	MMP2	Urban cutaneous leishmaniasis	C01	Бактериальный инфекции и микозы
ADM	ADM	Pyemia	C01	Бактериальный инфекции и микозы
ADM	ADM	Septicemia	C01	Бактериальный инфекции и микозы
ADM	ADM	Sepsis	C01	Бактериальный инфекции и микозы
ADM	ADM	Severe Sepsis	C01	Бактериальный инфекции и микозы
Autism susceptibility gene 2 protein	AUTS2	Burkitt Lymphoma	C01	Бактериальный инфекции и микозы
Beta-nerve growth factor	NGF	Corneal Ulcer	C01	Бактериальный инфекции и микозы
CD40 ligand	CD40LG	Pneumonia	C01	Бактериальный инфекции и микозы
CD40 ligand	CD40LG	Lobar Pneumonia	C01	Бактериальный инфекции и микозы
CD40 ligand	CD40LG	Experimental Lung Inflammation	C01	Бактериальный инфекции и микозы
CD40 ligand	CD40LG	Pneumonitis	C01	Бактериальный инфекции и микозы
Desmoplakin	DSP	Hamman-Rich syndrome	C01	Бактериальный инфекции и микозы
Gelsolin	GSN	Paratuberculosis	C01	Бактериальный инфекции и микозы
Heat shock protein beta-1	HSPB1	HIV Infections	C01	Бактериальный инфекции и микозы
Heat shock protein beta-1	HSPB1	HIV Coinfection	C01	Бактериальный инфекции и микозы
Lactotransferrin	LTF	Oral candidiasis	C01	Бактериальный инфекции и микозы
Lactotransferrin	LTF	Candidiasis of vagina	C01	Бактериальный инфекции и микозы
Lactotransferrin	LTF	Candida infection of genital region	C01	Бактериальный инфекции и микозы
Lactotransferrin	LTF	Candidiasis, Vulvovaginal	C01	Бактериальный инфекции и микозы
Lactotransferrin	LTF	Vaginal Yeast Infections	C01	Бактериальный инфекции и микозы
Lactotransferrin	LTF	Genital Vulvovaginal Candidiasis	C01	Бактериальный инфекции и микозы
Lipopolysaccharide-binding protein	LBP	Pyemia	C01	Бактериальный инфекции и микозы
Lipopolysaccharide-binding protein	LBP	Septicemia	C01	Бактериальный инфекции и микозы
Lipopolysaccharide-binding protein	LBP	Sepsis	C01	Бактериальный инфекции и микозы
Lipopolysaccharide-binding protein	LBP	Severe Sepsis	C01	Бактериальный инфекции и микозы
Mannan-binding lectin serine protease 2A	MASP2	Streptococcal pneumonia	C01	Бактериальный инфекции и микозы
Matrix metalloproteinase-9	MMP9	Pyemia	C01	Бактериальный инфекции и микозы
Matrix metalloproteinase-9	MMP9	Septicemia	C01	Бактериальный инфекции и микозы
Matrix metalloproteinase-9	MMP9	Sepsis	C01	Бактериальный инфекции и микозы
Matrix metalloproteinase-9	MMP9	Severe Sepsis	C01	Бактериальный инфекции и микозы
Neutrophil gelatinase-associated lipocalin	LCN2	Hepatitis, Animal	C01	Бактериальный инфекции и микозы
Osteopontin	SPP1	Pneumonia	C01	Бактериальный инфекции и микозы
Osteopontin	SPP1	Lobar Pneumonia	C01	Бактериальный инфекции и микозы
Osteopontin	SPP1	Experimental Lung Inflammation	C01	Бактериальный инфекции и микозы
Osteopontin	SPP1	Pneumonitis	C01	Бактериальный инфекции и микозы
P-selectin	SELP	Pleurisy	C01	Бактериальный инфекции и микозы
Pigment epithelium-derived factor	SERPINF1	Corneal Ulcer	C01	Бактериальный инфекции и микозы
Zinc-alpha-2-glycoprotein	AZGP1	Sinusitis	C01	Бактериальный инфекции и микозы
C-reactive protein	CRP	Pericementitis	C07	Заболевания стоматогнотической системы
C-reactive protein	CRP	Periodontitis	C07	Заболевания стоматогнотической системы
Cystatin-C	CST3	Oral Submucous Fibrosis	C07	Заболевания стоматогнотической системы
Interleukin-6	IL6	Oral Submucous Fibrosis	C07	Заболевания стоматогнотической системы
72 KDa type IV collagenase	MMP2	Oral Submucous Fibrosis	C07	Заболевания стоматогнотической системы
Collagen alpha-1(I) chain	COL1A1	Oral Submucous Fibrosis	C07	Заболевания стоматогнотической системы
Collagen alpha-2(I) chain	COL1A2	Oral Submucous Fibrosis	C07	Заболевания стоматогнотической системы
Interstitial collagenase	MMP1	Oral Submucous Fibrosis	C07	Заболевания стоматогнотической системы
Matrix metalloproteinase-9	MMP9	Oral Submucous Fibrosis	C07	Заболевания стоматогнотической системы
Matrix metalloproteinase-9	MMP9	Pericementitis	C07	Заболевания стоматогнотической системы
Matrix metalloproteinase-9	MMP9	Periodontitis	C07	Заболевания стоматогнотической системы
Metalloproteinase inhibitor 1	TIMP1	Oral Submucous Fibrosis	C07	Заболевания стоматогнотической системы
Protein S100-A12	S100A12	Mouth Diseases	C07	Заболевания стоматогнотической системы
Serum paraoxonase/arylesterase 1	PON1	Periodontal Diseases	C07	Заболевания стоматогнотической системы
Serum paraoxonase/arylesterase 1	PON1	Alveolar pyorrhea	C07	Заболевания стоматогнотической системы
Apolipoprotein A-I	APOA1	Behcet Syndrome	C07	Заболевания стоматогнотической системы
Apolipoprotein B-100	APOB	Behcet Syndrome	C07	Заболевания стоматогнотической системы
Calcitonin	CALCA	Trigeminal Neuralgia	C07	Заболевания стоматогнотической системы
Calcitonin	CALCA	Trigeminal Neuralgia, Idiopathic	C07	Заболевания стоматогнотической системы
Calcitonin	CALCA	Secondary Trigeminal Neuralgia	C07	Заболевания стоматогнотической системы
Fibrinogen alpha chain	FGA	Mouth Neoplasms	C07	Заболевания стоматогнотической системы
Fibrinogen alpha chain	FGA	Malignant neoplasm of mouth	C07	Заболевания стоматогнотической системы
Plasminogen activator inhibitor 1	SERPINE1	Behcet Syndrome	C07	Заболевания стоматогнотической системы
Serum albumin	ALB	Toxic Epidermal Necrolysis	C07	Заболевания стоматогнотической системы
Serum albumin	ALB	Stevens-Johnson Syndrome	C07	Заболевания стоматогнотической системы
Serum albumin	ALB	Drug-Induced Stevens Johnson Syndrome	C07	Заболевания стоматогнотической системы
Serum albumin	ALB	Mycoplasma-Induced Stevens-Johnson Syndrome	C07	Заболевания стоматогнотической системы
Serum albumin	ALB	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	C07	Заболевания стоматогнотической системы
Epidermal growth factor receptor	EGFR	Nasopharyngeal Neoplasms	C07	Заболевания стоматогнотической системы
Epidermal growth factor receptor	EGFR	Cancer of Nasopharynx	C07	Заболевания стоматогнотической системы
Epidermal growth factor receptor	EGFR	Squamous cell carcinoma of tongue	C07	Заболевания стоматогнотической системы
Insulin-like growth factor-binding protein 2	IGFBP2	Salivary Gland Neoplasms	C07	Заболевания стоматогнотической системы
Insulin-like growth factor-binding protein 2	IGFBP2	Malignant neoplasm of salivary gland	C07	Заболевания стоматогнотической системы
Intercellular adhesion molecule 1	ICAM1	Behcet Syndrome	C07	Заболевания стоматогнотической системы
Intercellular adhesion molecule 1	ICAM1	Mouth Neoplasms	C07	Заболевания стоматогнотической системы
Intercellular adhesion molecule 1	ICAM1	Malignant neoplasm of mouth	C07	Заболевания стоматогнотической системы
Interleukin-10	IL10	Behcet Syndrome	C07	Заболевания стоматогнотической системы
Interleukin-10	IL10	Inflammatory disease of mucous membrane	C07	Заболевания стоматогнотической системы
72 KDa type IV collagenase	MMP2	Mandibular Diseases	C07	Заболевания стоматогнотической системы
72 KDa type IV collagenase	MMP2	Maxillary Diseases	C07	Заболевания стоматогнотической системы
72 KDa type IV collagenase	MMP2	Nasopharyngeal Neoplasms	C07	Заболевания стоматогнотической системы
72 KDa type IV collagenase	MMP2	Cancer of Nasopharynx	C07	Заболевания стоматогнотической системы
72 KDa type IV collagenase	MMP2	Nasopharyngeal carcinoma	C07	Заболевания стоматогнотической системы
Glial fibrillary acidic protein	GFAP	Trigeminal Neuralgia	C07	Заболевания стоматогнотической системы
Glial fibrillary acidic protein	GFAP	Trigeminal Neuralgia, Idiopathic	C07	Заболевания стоматогнотической системы
Glial fibrillary acidic protein	GFAP	Secondary Trigeminal Neuralgia	C07	Заболевания стоматогнотической системы
Heat shock protein beta-1	HSPB1	Mouth Neoplasms	C07	Заболевания стоматогнотической системы
Heat shock protein beta-1	HSPB1	Tongue Neoplasms	C07	Заболевания стоматогнотической системы
Heat shock protein beta-1	HSPB1	Malignant neoplasm of tongue	C07	Заболевания стоматогнотической системы
Heat shock protein beta-1	HSPB1	Malignant neoplasm of mouth	C07	Заболевания стоматогнотической системы
Lactotransferrin	LTF	Oral candidiasis	C07	Заболевания стоматогнотической системы
Pigment epithelium-derived factor	SERPINF1	Salivary Gland Neoplasms	C07	Заболевания стоматогнотической системы
Pigment epithelium-derived factor	SERPINF1	Malignant neoplasm of salivary gland	C07	Заболевания стоматогнотической системы
Transcription factor SOX-11	SOX11	Salivary Gland Neoplasms	C07	Заболевания стоматогнотической системы
Transcription factor SOX-11	SOX11	Malignant neoplasm of salivary gland	C07	Заболевания стоматогнотической системы
Transcription factor SOX-11	SOX11	Coffin-Siris syndrome	C07	Заболевания стоматогнотической системы
Ceruloplasmin	CP	Pre-Eclampsia	C13	Болезни женских половых органов и осложнения беременности
Complement factor B	CFD	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Complement factor B	CFD	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Complement factor D	CFD	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Complement factor D	CFD	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Fibronectin	FN1	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Fibronectin	FN1	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Fibronectin	FN1	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Fibronectin	FN1	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 1	IGFBP1	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 1	IGFBP1	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 1	IGFBP1	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 1	IGFBP1	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 1	IGFBP1	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 1	IGFBP1	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 3	IGFBP3	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 3	IGFBP3	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 3	IGFBP3	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor-binding protein 3	IGFBP3	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Plasminogen activator inhibitor 1	SERPINE1	Pre-Eclampsia	C13	Болезни женских половых органов и осложнения беременности
Prolactin	PRL	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Prolactin	PRL	Female infertility	C13	Болезни женских половых органов и осложнения беременности
Prolactin	PRL	Puerperal Disorders	C13	Болезни женских половых органов и осложнения беременности
Prolactin	PRL	Sterility, Postpartum	C13	Болезни женских половых органов и осложнения беременности
Prolactin	PRL	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Prolactin	PRL	Subfertility, Female	C13	Болезни женских половых органов и осложнения беременности
Prolactin	PRL	Female sterility	C13	Болезни женских половых органов и осложнения беременности
Retinol-binding protein 4	RBP4	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Retinol-binding protein 4	RBP4	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Retinol-binding protein 4	RBP4	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Retinol-binding protein 4	RBP4	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Transferrin receptor protein 1	TFRC	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Transferrin receptor protein 1	TFRC	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Transferrin receptor protein 1	TFRC	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Transferrin receptor protein 1	TFRC	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Angiotensinogen	AGT	Pre-Eclampsia	C13	Болезни женских половых органов и осложнения беременности
Epidermal growth factor receptor	EGFR	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Epidermal growth factor receptor	EGFR	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Glutathione peroxidase 3	GPX3	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Glutathione peroxidase 3	GPX3	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Interleukin-10	IL10	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Interleukin-10	IL10	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Interleukin-6	IL6	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Interleukin-6	IL6	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Interleukin-6	IL6	Premature Obstetric Labor	C13	Болезни женских половых органов и осложнения беременности
Interleukin-6	IL6	Premature Birth	C13	Болезни женских половых органов и осложнения беременности
Interleukin-6	IL6	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Interleukin-6	IL6	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Mannose-binding protein C	MBL2	Premature Birth	C13	Болезни женских половых органов и осложнения беременности
Actin, aortic smooth muscle	ACTA2	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Actin, aortic smooth muscle	ACTA2	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Apolipoprotein E	APOE	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Apolipoprotein E	APOE	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Apolipoprotein E	APOE	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Apolipoprotein E	APOE	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Aromatase	CYP19A1	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Aromatase	CYP19A1	Female infertility	C13	Болезни женских половых органов и осложнения беременности
Aromatase	CYP19A1	Sterility, Postpartum	C13	Болезни женских половых органов и осложнения беременности
Aromatase	CYP19A1	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Aromatase	CYP19A1	Subfertility, Female	C13	Болезни женских половых органов и осложнения беременности
Aromatase	CYP19A1	Female sterility	C13	Болезни женских половых органов и осложнения беременности
Collagen alpha-1(I) chain	COL1A1	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Collagen alpha-1(I) chain	COL1A1	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Collagen alpha-1(I) chain	COL1A1	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Collagen alpha-1(I) chain	COL1A1	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Collagen alpha-2(I) chain	COL1A2	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Collagen alpha-2(I) chain	COL1A2	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Collagen alpha-2(I) chain	COL1A2	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Collagen alpha-2(I) chain	COL1A2	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Complement factor H	CFH	HELLP Syndrome	C13	Болезни женских половых органов и осложнения беременности
Complement factor I	CFI	HELLP Syndrome	C13	Болезни женских половых органов и осложнения беременности
Dickkopf-related protein 1	DKK1	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Dickkopf-related protein 1	DKK1	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Extracellular matrix protein 1	ECM1	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Extracellular matrix protein 1	ECM1	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Extracellular matrix protein 1	ECM1	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Extracellular matrix protein 1	ECM1	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Fetuin-B	FETUB	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Fetuin-B	FETUB	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Fetuin-B	FETUB	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Fetuin-B	FETUB	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Fibulin-1	FBLN1	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Fibulin-1	FBLN1	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Galectin-3	LGALS3	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Galectin-3	LGALS3	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Galectin-3	LGALS3	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Galectin-3	LGALS3	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Hyaluronan-binding protein 2	HABP2	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Hyaluronan-binding protein 2	HABP2	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Hyaluronan-binding protein 2	HABP2	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Hyaluronan-binding protein 2	HABP2	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor I	IGF1	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor I	IGF1	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor I	IGF1	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor I	IGF1	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor I	IGF1	Female Urogenital Diseases	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor I	IGF1	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Insulin-like growth factor I	IGF1	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Lactotransferrin	LTF	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Lactotransferrin	LTF	Premature Birth	C13	Болезни женских половых органов и осложнения беременности
Lactotransferrin	LTF	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Matrix Gla protein	MGP	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Matrix Gla protein	MGP	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Matrix Gla protein	MGP	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Matrix Gla protein	MGP	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Matrix metalloproteinase-9	MMP9	Premature Birth	C13	Болезни женских половых органов и осложнения беременности
Metalloproteinase inhibitor 1	TIMP1	Female Urogenital Diseases	C13	Болезни женских половых органов и осложнения беременности
Metalloproteinase inhibitor 2	TIMP2	Spontaneous abortion	C13	Болезни женских половых органов и осложнения беременности
Metalloproteinase inhibitor 2	TIMP2	Abortion, Tubal	C13	Болезни женских половых органов и осложнения беременности
Metalloproteinase inhibitor 2	TIMP2	Early Pregnancy Loss	C13	Болезни женских половых органов и осложнения беременности
Metalloproteinase inhibitor 2	TIMP2	Miscarriage	C13	Болезни женских половых органов и осложнения беременности
Pappalysin-1	PAPPA	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Pappalysin-1	PAPPA	Female infertility	C13	Болезни женских половых органов и осложнения беременности
Pappalysin-1	PAPPA	Sterility, Postpartum	C13	Болезни женских половых органов и осложнения беременности
Pappalysin-1	PAPPA	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Pappalysin-1	PAPPA	Subfertility, Female	C13	Болезни женских половых органов и осложнения беременности
Pappalysin-1	PAPPA	Female sterility	C13	Болезни женских половых органов и осложнения беременности
Serum paraoxonase/arylesterase 1	PON1	Prenatal Exposure Delayed Effects	C13	Болезни женских половых органов и осложнения беременности
Target of Nesh-SH3	ABI3BP	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Target of Nesh-SH3	ABI3BP	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Tenascin C	TNC	Endometriosis	C13	Болезни женских половых органов и осложнения беременности
Tenascin C	TNC	Endometrioma	C13	Болезни женских половых органов и осложнения беременности
Alpha-1-acid glycoprotein 1	ORM1	Kidney Failure, Acute	C13	Болезни женских половых органов и осложнения беременности
Alpha-1-acid glycoprotein 1	ORM1	Acute Kidney Insufficiency	C13	Болезни женских половых органов и осложнения беременности
Alpha-1-acid glycoprotein 1	ORM1	Acute kidney injury	C13	Болезни женских половых органов и осложнения беременности
Alpha-1-antitrypsin	SERPINA1	Kidney Failure, Acute	C13	Болезни женских половых органов и осложнения беременности
Alpha-1-antitrypsin	SERPINA1	Acute Kidney Insufficiency	C13	Болезни женских половых органов и осложнения беременности
Alpha-1-antitrypsin	SERPINA1	Acute kidney injury	C13	Болезни женских половых органов и осложнения беременности
Alpha-2-HS-glycoprotein	AHSG	Kidney Failure, Acute	C13	Болезни женских половых органов и осложнения беременности
Alpha-2-HS-glycoprotein	AHSG	Acute Kidney Insufficiency	C13	Болезни женских половых органов и осложнения беременности
